feature,importance
duration_s,0.10144067483644403
std_iat,0.08977266681352848
seq_iat_01,0.08617167126943039
seq_iat_02,0.08080684567777552
entropy,0.07955337135066462
mean_iat_up,0.06973065865822022
std_iat_up,0.055048315279941196
seq_iat_04,0.03831066812739586
seq_iat_03,0.03629019139435694
mean_pkt_sz_up,0.03174135138449617
mean_pkt_sz,0.02785073711425247
byte_ratio_up,0.027480105341051886
std_pkt_sz,0.0274315024230162
total_bytes,0.025988876105222547
seq_size_02,0.020840272804146104
seq_size_04,0.017459332368113176
std_iat_down,0.016801366402566475
seq_size_01,0.015175071352052406
seq_iat_05,0.012522686956823199
seq_iat_06,0.0124793427396178
seq_dir_07,0.01015893502692668
max_pkt_sz,0.008677322940966854
seq_dir_02,0.0077708310873329835
seq_dir_01,0.007264857327316513
seq_size_03,0.007249112590617356
pkt_ratio_up,0.00594742406125063
seq_dir_09,0.005766403163341328
seq_dir_06,0.005048191436133852
seq_dir_08,0.004776108641999621
seq_dir_03,0.004554866366622675
seq_dir_04,0.00438931680356442
pkts_up,0.004307200535684835
seq_size_05,0.0038693563355934797
tls_down_08,0.002886166566495224
seq_dir_05,0.0027461899512614724
seq_size_06,0.0027424220217225057
total_pkts,0.0025137809089803074
tls_up_03,0.002304045126932002
seq_dir_10,0.0021419982168691637
seq_size_07,0.0020709003004802467
seq_dir_11,0.0019304400032102852
seq_dir_14,0.0019227255547316874
seq_dir_13,0.0019211233177071402
seq_dir_12,0.0019103061766788825
seq_iat_07,0.001880475941212565
seq_dir_00,0.0017364605424576042
tls_down_09,0.0016804291498361953
min_pkt_sz,0.001626195489289785
seq_iat_08,0.001114804824608477
tls_down_10,0.0008939281230837418
seq_size_08,0.0008087714205304258
seq_iat_09,0.0007862303827739929
tls_up_04,0.0007689646638827008
seq_dir_16,0.0007578091923394236
seq_dir_15,0.000706186744154108
seq_dir_18,0.0006879987249672357
seq_size_00,0.0005981870314037636
seq_dir_19,0.0005022875945154271
seq_size_09,0.0004972241298037929
seq_dir_17,0.0004933047155999865
tls_down_11,0.00047475939731971836
tls_down_12,0.00045743522641843274
seq_iat_11,0.0004549177938170814
seq_iat_12,0.00045403816132222086
seq_iat_10,0.0004204697138015866
seq_iat_13,0.00038199864097564293
seq_iat_14,0.0003145444206973031
seq_size_10,0.00027207132365788985
tls_up_05,0.0002532510859608805
tls_down_13,0.00024221322777070458
seq_size_12,0.00021899663537098518
seq_size_11,0.00021889820828213433
seq_size_14,0.00020260622824367638
tls_up_07,0.00019202646816965813
seq_size_13,0.0001911743097673556
seq_iat_17,0.00017928618958451786
seq_iat_18,0.00016979481292313475
tls_down_15,0.00016039263099844317
seq_iat_16,0.00014565417149668496
tls_down_16,0.00014535079338382024
seq_iat_15,0.00013852726180266044
tls_down_14,0.00012499360879418659
tls_down_17,0.00012154193414842797
tls_up_06,0.00011726794688228535
seq_iat_19,0.00011458264122913261
seq_size_15,7.943633524652809e-05
tls_down_19,7.654007885996367e-05
seq_size_16,6.503287415797671e-05
tls_up_08,6.304651604873255e-05
seq_size_19,6.217547106840039e-05
seq_size_18,5.0898005912501316e-05
tls_down_18,4.3952102225857474e-05
tls_up_09,4.1692373868530745e-05
seq_size_17,4.055597779092872e-05
tls_up_10,3.1166876714547915e-06
tls_up_16,1.4525103331345636e-06
tls_up_12,3.159995286250195e-07
tls_up_15,7.024729181411922e-10
tls_up_19,2.1660606166045054e-16
tls_up_13,1.9045814229290383e-16
tls_up_17,1.8693269447461375e-16
tls_up_18,1.2247093528997492e-16
tls_up_11,6.857473660046288e-17
tls_up_14,4.177192709234877e-17
seq_iat_00,0.0
