feature,importance
seq_size_01,0.3663446324030524
seq_iat_02,0.21683003768470957
seq_iat_01,0.21118954048828975
entropy,0.13165268183856835
seq_size_02,0.12681847328494805
seq_size_04,0.12255336693706091
seq_iat_03,0.09423195159806738
seq_iat_06,0.06903332830456263
seq_iat_05,0.060577279249678526
seq_iat_04,0.04543914748892297
seq_size_03,0.03143641413045719
seq_dir_04,0.015788737910538274
seq_iat_07,0.013703344587579536
seq_size_05,0.009877465255762118
seq_size_06,0.006883630551785758
seq_dir_01,0.006165195343918994
seq_size_00,0.005785616383370962
seq_dir_03,0.005058864289852805
seq_iat_08,0.004804474495964261
seq_dir_02,0.0033211477067838224
seq_iat_09,0.001141907026204092
seq_size_08,0.0009518023746879712
seq_dir_06,0.0004672178659772097
seq_size_07,0.00041851110194781607
seq_dir_00,0.0
seq_dir_07,0.0
seq_iat_00,0.0
seq_dir_08,0.0
seq_size_09,0.0
seq_dir_09,0.0
seq_dir_05,-0.00016644412884285752
